Date,Y,X1,X2,X3,X4,X5
2019/11/4,307,299,298.5,299.5,298.5,294.5
2019/11/5,310.5,307,299,298.5,299.5,298.5
2019/11/6,311,310.5,307,299,298.5,299.5
2019/11/7,309,311,310.5,307,299,298.5
2019/11/8,305.5,309,311,310.5,307,299
2019/11/11,301,305.5,309,311,310.5,307
2019/11/12,305,301,305.5,309,311,310.5
2019/11/13,304,305,301,305.5,309,311
2019/11/14,303.5,304,305,301,305.5,309
2019/11/15,307,303.5,304,305,301,305.5
2019/11/18,311,307,303.5,304,305,301
2019/11/19,315,311,307,303.5,304,305
2019/11/20,313.5,315,311,307,303.5,304
2019/11/21,311,313.5,315,311,307,303.5
2019/11/22,309,311,313.5,315,311,307
2019/11/25,307,309,311,313.5,315,311
2019/11/26,307,307,309,311,313.5,315
2019/11/27,311,307,307,309,311,313.5
2019/11/28,309.5,311,307,307,309,311
2019/11/29,305,309.5,311,307,307,309
2019/12/2,307.5,305,309.5,311,307,307
2019/12/3,307,307.5,305,309.5,311,307
2019/12/4,306,307,307.5,305,309.5,311
2019/12/5,312,306,307,307.5,305,309.5
2019/12/6,313,312,306,307,307.5,305
2019/12/9,316,313,312,306,307,307.5
2019/12/10,313.5,316,313,312,306,307
2019/12/11,319,313.5,316,313,312,306
2019/12/12,331.5,319,313.5,316,313,312
2019/12/13,339,331.5,319,313.5,316,313
2019/12/16,336,339,331.5,319,313.5,316
2019/12/17,345,336,339,331.5,319,313.5
2019/12/18,344.5,345,336,339,331.5,319
2019/12/19,335,344.5,345,336,339,331.5
2019/12/20,329,335,344.5,345,336,339
2019/12/23,334,329,335,344.5,345,336
2019/12/24,332,334,329,335,344.5,345
2019/12/25,333,332,334,329,335,344.5
2019/12/26,333,333,332,334,329,335
2019/12/27,338,333,333,332,334,329
2019/12/30,334.5,338,333,333,332,334
2019/12/31,331,334.5,338,333,333,332
2020/1/2,339,331,334.5,338,333,333
2020/1/3,339.5,339,331,334.5,338,333
2020/1/6,332,339.5,339,331,334.5,338
2020/1/7,329.5,332,339.5,339,331,334.5
2020/1/8,329.5,329.5,332,339.5,339,331
2020/1/9,337.5,329.5,329.5,332,339.5,339
